Restaurant Name,Location,Type of Cuisine,lat,lon,Address,Phone Number,Opening Hours
18 Grams Coffee & Veggie,Causeway Bay,Coffee & Vegetarian,22.2815629,114.1835415,"Hong Kong, Causeway Bay, Cannon St, 15-27號Hoi To Court",9454 0353,"SUN:0800~2000
MON:0800~1800
TUE:0800~1800
WED:0800~1800
THU:0800~1800
FRI:0800~2000
SAT:0800~2000"
181 Fortnum & Mason,Tsim Sha Tsui,British,22.2943854,114.1757819,"Shop 022, G/F K11 Atelier Victoria Dockside 18 Salisbury Road 香港九龍尖沙咀梳士巴利道18號 K11 Atelier 022, 號鋪, 18 Salisbury Rd, Tsim Sha Tsui, Hong Kong",3916 8181,"SUN:1100~2200
MON:1100~2200
TUE:1100~2200
WED:1100~2200
THU:1100~2200
FRI:1100~2200
SAT:1100~2200"
A Tavola Restaurant,Tung Chung,Italian,22.2928166,113.9427894,"Shops E & F, G/F Seaview Crescent Plaza, Lantau Island Tung Chung Lantau Island, Seaview Crescent, Hong Kong",2321 5500,"SUN:1200~0100
MON:1200~0100
TUE:1200~0100
WED:1200~0100
THU:1200~0100
FRI:1200~0200
SAT:1200~0200"
Acquasala,Central,Italian,22.2827306,114.1523916,"G/F, 13 Elgin St, Central, Hong Kong",2895 0085,"SUN:1200~2300
TUE:1700~0000
WED:1700~0000
THU:1700~0000
FRI:1700~0200
SAT:1200~0200"
aera,Wan Chai,International,22.2790238,114.176879,"Ground Floor, 6 Stewart Rd, Wan Chai, Hong Kong",9330 0387,"MON:1200~1500, 1800~2230
TUE:1200~1500, 1800~2230
WED:1200~1500, 1800~2230
THU:1200~1500, 1800~2230
FRI:1200~1500, 1800~2230
SAT:1200~1500, 1800~2230"
Ah Yat Harbour View Restaurant,Tsim Sha Tsui,Chinese,22.297025,114.1718959,"29/F, iSQUARE, 63 Nathan Rd, Tsim Sha Tsui, Hong Kong",6227 0330,"SUN:1100~1530, 1800~2300
MON:1100~1530, 1800~2300
TUE:1100~1530, 1800~2300
WED:1100~1530, 1800~2300
THU:1100~1530, 1800~2300
FRI:1100~1530, 1800~2300
SAT:1100~1530, 1800~2300"
Akanoshou,Causeway Bay,Japanese,22.2786942,114.1861932,"6/F, HDH Centre, 8 Pennington St, Causeway Bay, Hong Kong",2577 0611,"SUN:1130~1530, 1800~2300
MON:1130~1530, 1800~2300
TUE:1130~1530, 1800~2300
WED:1130~1530, 1800~2300
THU:1130~1530, 1800~2300
FRI:1130~1530, 1800~2300
SAT:1130~1530, 1800~2300"
Alibi – Wine Dine Be Social,Mong Kok,International,22.3182744,114.1681141,"Level 5, Cordis, Hong Kong, 555 Shanghai St, Mong Kok, Hong Kong",3552 3231,"SUN:1130~0100
MON:1130~0100
TUE:1130~0100
WED:1130~0100
THU:1130~0100
FRI:1130~0200
SAT:1130~0200"
ALTO Bar & Grill,Causeway Bay,Steakhouse,22.27918099999999,114.1817245,"31/F, V Point, 18 Tang Lung St, Causeway Bay, Hong Kong",2603 7181,"SUN:1130~1500, 1800~2300
MON:1200~1500, 1800~2300
TUE:1200~1500, 1800~2300
WED:1200~1500, 1800~2300
THU:1200~1500, 1800~2300
FRI:1200~1500, 1800~2300
SAT:1130~1500, 1800~2300"
APT Coffee,Wan Chai,Coffee,22.27616489999999,114.1684939,"Shop A&B,G/f 2, 12 Moon St, Wan Chai, Hong Kong",3619 4393,"SUN:0800~1800
MON:0800~1800
TUE:0800~1800
WED:0800~1800
THU:0800~1800
FRI:0800~1800
SAT:0800~1800"
